  l  lp m  mp k  ck 
  0  0  0  0  0   1.000000000000E+00
  0  1  0 -1  1  -5.773502691896E-01
  0  1  0  0  1   5.773502691896E-01
  0  1  0  1  1  -5.773502691896E-01
  0  2  0 -2  2   4.472135955000E-01
  0  2  0 -1  2  -4.472135955000E-01
  0  2  0  0  2   4.472135955000E-01
  0  2  0  1  2  -4.472135955000E-01
  0  2  0  2  2   4.472135955000E-01
  0  3  0 -3  3  -3.779644730092E-01
  0  3  0 -2  3   3.779644730092E-01
  0  3  0 -1  3  -3.779644730092E-01
  0  3  0  0  3   3.779644730092E-01
  0  3  0  1  3  -3.779644730092E-01
  0  3  0  2  3   3.779644730092E-01
  0  3  0  3  3  -3.779644730092E-01
  1  0 -1  0  1   5.773502691896E-01
  1  0  0  0  1   5.773502691896E-01
  1  0  1  0  1   5.773502691896E-01
  1  1 -1 -1  0   1.000000000000E+00
  1  1 -1 -1  2  -2.000000000000E-01
  1  1 -1  0  2   3.464101615138E-01
  1  1 -1  1  2  -4.898979485566E-01
  1  1  0 -1  2  -3.464101615138E-01
  1  1  0  0  0   1.000000000000E+00
  1  1  0  0  2   4.000000000000E-01
  1  1  0  1  2  -3.464101615138E-01
  1  1  1 -1  2  -4.898979485566E-01
  1  1  1  0  2   3.464101615138E-01
  1  1  1  1  0   1.000000000000E+00
  1  1  1  1  2  -2.000000000000E-01
  1  2 -1 -2  1  -6.324555320337E-01
  1  2 -1 -2  3   1.106566670345E-01
  1  2 -1 -1  1   4.472135955000E-01
  1  2 -1 -1  3  -1.916629695000E-01
  1  2 -1  0  1  -2.581988897472E-01
  1  2 -1  0  3   2.710523708716E-01
  1  2 -1  1  3  -3.499271061119E-01
  1  2 -1  2  3   4.285714285714E-01
  1  2  0 -2  3   2.474358296527E-01
  1  2  0 -1  1  -4.472135955000E-01
  1  2  0 -1  3  -3.129843185744E-01
  1  2  0  0  1   5.163977794943E-01
  1  2  0  0  3   3.319700011035E-01
  1  2  0  1  1  -4.472135955000E-01
  1  2  0  1  3  -3.129843185744E-01
  1  2  0  2  3   2.474358296527E-01
  1  2  1 -2  3   4.285714285714E-01
  1  2  1 -1  3  -3.499271061119E-01
  1  2  1  0  1  -2.581988897472E-01
  1  2  1  0  3   2.710523708716E-01
  1  2  1  1  1   4.472135955000E-01
  1  2  1  1  3  -1.916629695000E-01
  1  2  1  2  1  -6.324555320337E-01
  1  2  1  2  3   1.106566670345E-01
  1  3 -1 -3  2   5.070925528371E-01
  1  3 -1 -3  4  -7.273929674533E-02
  1  3 -1 -2  2  -4.140393356054E-01
  1  3 -1 -2  4   1.259881576697E-01
  1  3 -1 -1  2   3.207134902949E-01
  1  3 -1 -1  4  -1.781741612749E-01
  1  3 -1  0  2  -2.267786838055E-01
  1  3 -1  0  4   2.300218531141E-01
  1  3 -1  1  2   1.309307341416E-01
  1  3 -1  1  4  -2.817180849095E-01
  1  3 -1  2  4   3.333333333333E-01
  1  3 -1  3  4  -3.849001794598E-01
  1  3  0 -3  4  -1.924500897299E-01
  1  3  0 -2  2   2.927700218846E-01
  1  3  0 -2  4   2.519763153395E-01
  1  3  0 -1  2  -3.703280399090E-01
  1  3  0 -1  4  -2.817180849095E-01
  1  3  0  0  2   3.927922024248E-01
  1  3  0  0  4   2.909571869813E-01
  1  3  0  1  2  -3.703280399090E-01
  1  3  0  1  4  -2.817180849095E-01
  1  3  0  2  2   2.927700218846E-01
  1  3  0  2  4   2.519763153395E-01
  1  3  0  3  4  -1.924500897299E-01
  1  3  1 -3  4  -3.849001794598E-01
  1  3  1 -2  4   3.333333333333E-01
  1  3  1 -1  2   1.309307341416E-01
  1  3  1 -1  4  -2.817180849095E-01
  1  3  1  0  2  -2.267786838055E-01
  1  3  1  0  4   2.300218531141E-01
  1  3  1  1  2   3.207134902949E-01
  1  3  1  1  4  -1.781741612749E-01
  1  3  1  2  2  -4.140393356054E-01
  1  3  1  2  4   1.259881576697E-01
  1  3  1  3  2   5.070925528371E-01
  1  3  1  3  4  -7.273929674533E-02
  2  0 -2  0  2   4.472135955000E-01
  2  0 -1  0  2   4.472135955000E-01
  2  0  0  0  2   4.472135955000E-01
  2  0  1  0  2   4.472135955000E-01
  2  0  2  0  2   4.472135955000E-01
  2  1 -2 -1  1   6.324555320337E-01
  2  1 -2 -1  3  -1.106566670345E-01
  2  1 -2  0  3   2.474358296527E-01
  2  1 -2  1  3  -4.285714285714E-01
  2  1 -1 -1  1   4.472135955000E-01
  2  1 -1 -1  3  -1.916629695000E-01
  2  1 -1  0  1   4.472135955000E-01
  2  1 -1  0  3   3.129843185744E-01
  2  1 -1  1  3  -3.499271061119E-01
  2  1  0 -1  1   2.581988897472E-01
  2  1  0 -1  3  -2.710523708716E-01
  2  1  0  0  1   5.163977794943E-01
  2  1  0  0  3   3.319700011035E-01
  2  1  0  1  1   2.581988897472E-01
  2  1  0  1  3  -2.710523708716E-01
  2  1  1 -1  3  -3.499271061119E-01
  2  1  1  0  1   4.472135955000E-01
  2  1  1  0  3   3.129843185744E-01
  2  1  1  1  1   4.472135955000E-01
  2  1  1  1  3  -1.916629695000E-01
  2  1  2 -1  3  -4.285714285714E-01
  2  1  2  0  3   2.474358296527E-01
  2  1  2  1  1   6.324555320337E-01
  2  1  2  1  3  -1.106566670345E-01
  2  2 -2 -2  0   1.000000000000E+00
